Customer Name,Periode,Sales Doc,Sales Item,Material No,Material Desc, Sales Qty , Total Amount 
TMT,January 2022,2900000055,50,CPLF,Finished Coil Plate, 164 , 35 
FSC,January 2022,1200000004,110,HRCF,Finished Hot Rolled Coil, 1 , - 
PT. HJT,January 2022,2100000785,20,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 20 ," 127,361 "
FSC,January 2022,1200000000,1340,RBFF,Finished Rolled Beam Fabricated, 123 , - 
PSM,January 2022,1000000005,10,FPLF,Finished Plate Bar," 8,690 "," 5,959,970 "
PT. HJT,January 2022,2100000517,10,CPLF-0000000005,CPLF-ASTM A 36 2.8x1200x2400, 137 ," 138,992 "
PT. HJT,January 2022,2100000972,100,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 19 ," 142,097 "
PT. HJT,January 2022,2100000717,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 12 ," 194,385 "
PT. HJT,January 2022,2100000673,80,RBFF,Finished Rolled Beam Fabricated, 2 ," 61,520 "
PT. HJT,January 2022,2100000460,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 164 ," 1,146,132 "
FSC,January 2022,1200000006,1730,PLTF,Finished Baby Plate," 5,940 ", - 
RBJ,January 2022,2100000420,10,PLTF,Finished Baby Plate, 34 ," 976,552 "
PT. HJT,January 2022,2100000867,120,RBFF,Finished Rolled Beam Fabricated, 1 ," 20,028 "
TCP,January 2022,2900000031,30,PLTF,Finished Baby Plate, 28 , 28 
O&C,January 2022,2900000037,10,WBMF,Finished Welded Beam, 2 , 3 
FSC,January 2022,1200000026,850,PLTF,Finished Baby Plate," 121,638 ", - 
PT. HJT,January 2022,2100000888,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 10 ," 201,558 "
PT. HJT,January 2022,2100001173,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 30 ," 125,456 "
FSC,January 2022,1200000000,920,RAFF,Finished Rolled Angle Fabricated, 26 , - 
FSC,January 2022,1200000015,350,HRCF,Finished Hot Rolled Coil," 18,490 ", - 
PT. HJT,January 2022,2100000490,30,WBMF,Finished Welded Beam, 4 ," 174,942 "
O&C,January 2022,2900000105,560,WBMF,Finished Welded Beam, 1 , 2 
FSC,January 2022,1200000006,1010,PLTF,Finished Baby Plate," 2,540 ", - 
PT. HJT,January 2022,2100000725,10,CPLF,Finished Coil Plate, 12 ," 14,915 "
PT. HJT,January 2022,2100001307,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 20 ," 316,499 "
SPM,January 2022,1000000070,10,HRCF,Finished Hot Rolled Coil," 52,547 "," 596,813 "
PT. SPA,January 2022,2100000833,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 49 ," 353,143 "
PT. HJT,January 2022,2100000961,60,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 4 ," 40,453 "
PT. IPM,January 2022,2100000592,10,CPLF-0000000004,CPLF-ASTM A 36 2.7x1200x2400, 312 ," 301,239 "
FSC,January 2022,1200000022,2850,PLTF,Finished Baby Plate," 8,100 ", - 
PT. HJT,January 2022,2100000678,60,CRCF,Finished Cold Rolled Coil," 34,155 "," 585,815 "
FSC,January 2022,1200000014,410,CPLF,Finished Coil Plate," 37,530 ", - 
PT. HJT,January 2022,2100000974,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 5 ," 20,472 "
FSC,January 2022,1200000028,1780,BSBS,SFG - Baby Slab," 7,106 ", - 
FSC,January 2022,1200000019,2040,PLTF,Finished Baby Plate," 4,430 ", - 
TCP,January 2022,2900000075,40,WBMF,Finished Welded Beam, 1 , 0 
PT. HJT,January 2022,2100000895,70,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 8 ," 58,627 "
FSC,January 2022,1200000000,480,RBFF,Finished Rolled Beam Fabricated, 8 , - 
PT. HJT,January 2022,2100000437,100,CPLF-0000000009,CPLF-ASTM A 36 3.8x1200x2400, 168 ," 226,580 "
OSP,January 2022,2900000103,170,WBMF,Finished Welded Beam, 1 , 0 
TCP,January 2022,2900000056,30,WBMF,Finished Welded Beam, 1 , 1 
O&C,January 2022,2900000037,920,WBMF,Finished Welded Beam, 34 , 39 
PT. HJT,January 2022,2100001229,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 14 ," 142,539 "
ATP,January 2022,2900000093,100,PLTF,Finished Baby Plate, 89 , 638 
FSC,January 2022,1200000003,210,EPBF,Finished ERW Pipe, 27 , - 
FSC,January 2022,1200000004,220,HRCF,Finished Hot Rolled Coil, 1 , - 
PT. HJT,January 2022,2100000929,100,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 3 ," 43,294 "
FSC,January 2022,1200000006,1430,PLTF,Finished Baby Plate," 12,810 ", - 
PT. SPA,January 2022,2100000833,50,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 5 ," 76,441 "
PT. HJT,January 2022,2100000807,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 15 ," 152,720 "
PT. HJT,January 2022,2100000428,60,CPLF,Finished Coil Plate, 1 ," 2,023 "
PT. HJT,January 2022,2100001271,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 40 ," 162,926 "
ISS,January 2022,2900000083,10,WBMF,Finished Welded Beam, 18 , 32 
PT. IB,January 2022,2100001428,160,EPBF-0000000037,"JIS G 3445 STKM 11A 2""(60.3)x2.8x6000", 244 ," 90,071 "
PT. HJT,January 2022,2100000372,140,EPBF-0000000041,"JIS G 3445 STKM 11A 2""(60.3)x3.6x6000", 245 ," 97,933 "
TCP,January 2022,2900000050,10,FABS-COMPONENT,Komponen Fabrikasi (Data Migration)," 460,317 ", - 
PSC,January 2022,1000000071,10,PLTF,Finished Baby Plate, 10 ," 104,973 "
OSP,January 2022,2900000053,70,PLTF,Finished Baby Plate, 19 , 23 
PT. HJT,January 2022,2100001403,60,RBFF,Finished Rolled Beam Fabricated, 30 ," 63,194 "
PT. SP,January 2022,2100000868,30,CNPF,Finished Lipped Channel, 935 ," 413,988 "
PT. HJT,January 2022,2100000520,70,CPLF-0000000017,CPLF-ASTM A 36 9.7x1200x2400, 105 ," 362,698 "
PT. HJT,January 2022,2100000878,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 1 ," 7,479 "
PT. HJT,January 2022,2100000930,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 12 ," 189,899 "
PT. HJT,January 2022,2100000434,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 60 ," 879,909 "
PT. HJT,January 2022,2100000715,40,RBFF,Finished Rolled Beam Fabricated, 6 ," 17,515 "
PT. IB,January 2022,2100001421,380,EPBF-0000000073,"JIS G 3445 STKM 11A 4""(114.3)x2.5x6000", 1 , 656 
PT. BBM,January 2022,2100001394,230,EPBF-0000000035,"JIS G 3445 STKM 11A 2""(60.3)x2.2x6000", 500 ," 151,537 "
PT. HJT,January 2022,2100001202,40,RBMF-0000000006,IWF-JIS G 3101 SS 400 396x199x12000, 2 ," 24,565 "
PT. HJT,January 2022,2100000449,60,CPLF,Finished Coil Plate, 53 ," 61,443 "
O&C,January 2022,2900000037,990,WBMF,Finished Welded Beam, 5 , 6 
PT. HJT,January 2022,2100001178,30,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 2 ," 12,910 "
PT. SJS,January 2022,2100000650,20,CPLF,Finished Coil Plate, 550 ," 579,654 "
FS,January 2022,1000000017,250,CTSF,Finished Plate Cut to Shape, 48 ," 1,898 "
PT. HJT,January 2022,2100001363,20,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 2 ," 62,757 "
PT. HJT,January 2022,2100001257,10,RBFF,Finished Rolled Beam Fabricated, 7 ," 75,052 "
PT. HJT,January 2022,2100000792,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 8 ," 46,393 "
CRM,January 2022,1200000029,370,HRPS,SFG - HRC (Purchased)," 879,320 ", - 
FSC,January 2022,1200000004,370,HRCF,Finished Hot Rolled Coil, 1 , - 
PT. HJT,January 2022,2100001030,30,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 24 ," 179,491 "
O&C,January 2022,2900000090,620,WBMF,Finished Welded Beam, 3 , 10 
PT. HJT,January 2022,2100000503,20,CRCF,Finished Cold Rolled Coil," 201,715 "," 3,512,031 "
FSC,January 2022,1200000006,2050,PLTF,Finished Baby Plate," 5,538 ", - 
O&C,January 2022,2900000058,50,PLTF,Finished Baby Plate, 31 , 28 
FSC,January 2022,1200000006,180,PLTF,Finished Baby Plate," 102,388 ", - 
PT. HJT,January 2022,2100000501,80,PLTF,Finished Baby Plate, 3 ," 17,007 "
PSC,January 2022,1000000066,60,PLTF,Finished Baby Plate, 2 ," 44,045 "
FSC,January 2022,1200000022,2780,PLTF,Finished Baby Plate," 26,250 ", - 
PT. HJT,January 2022,2100001238,10,RBFF,Finished Rolled Beam Fabricated, 150 ," 208,745 "
PT. HJT,January 2022,2100000449,20,CPLF,Finished Coil Plate, 1 ," 1,275 "
PT. HJT,January 2022,2100001164,20,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 3 ," 49,492 "
O&C,January 2022,2900000090,540,WBMF,Finished Welded Beam, 5 , 6 
PT. HJT,January 2022,2100000510,10,CPLF-0000000005,CPLF-ASTM A 36 2.8x1200x2400, 602 ," 610,753 "
PT. HJT,January 2022,2100001209,40,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 7 ," 137,034 "
PT. ADP,January 2022,2100000427,50,HRCF,Finished Hot Rolled Coil," 409,830 "," 6,248,268 "
PT. HJT,January 2022,2100000551,10,CPLF,Finished Coil Plate," 1,096 "," 3,173,287 "
ATP,January 2022,2900000070,10,CRCF,Finished Cold Rolled Coil," 44,205 ", 41 
PT. BBM,January 2022,2100000580,20,PLTF,Finished Baby Plate, 15 ," 233,020 "
PT. HJT,January 2022,2100001334,30,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 6 ," 114,790 "
PT. HJT,January 2022,2100001411,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 17 ," 68,692 "
O&C,January 2022,2900000090,230,WBMF,Finished Welded Beam, 1 , 8 
FSC,January 2022,1200000022,2790,PLTF,Finished Baby Plate," 2,332 ", - 
FSC,January 2022,1200000015,970,PLTF,Finished Baby Plate," 4,316 ", - 
FSC,January 2022,1200000000,780,RBMF,Finished Rolled Beam, 6 , - 
ATP,January 2022,2900000081,20,CRCF,Finished Cold Rolled Coil," 41,125 ", 42 
PT. SPA,January 2022,2100000834,50,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 2 ," 30,576 "
FSC,January 2022,1200000006,700,PLTF,Finished Baby Plate," 4,026 ", - 
PT. HJT,January 2022,2100001032,30,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 5 ," 50,534 "
FSC,January 2022,1200000006,1550,PLTF,Finished Baby Plate," 1,001 ", - 
PT. HJT,January 2022,2100001268,60,RBFF,Finished Rolled Beam Fabricated, 3 ," 29,720 "
PT. PAS,January 2022,2100000751,50,CNPF,Finished Lipped Channel, 183 ," 70,522 "
PT. HJT,January 2022,2100001378,30,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 1 ," 13,453 "
FSC,January 2022,1200000026,140,HRCF,Finished Hot Rolled Coil," 44,430 ", - 
PT. HJT,January 2022,2100000365,40,RBFF,Finished Rolled Beam Fabricated, 1 ," 1,489 "
PT. HJT,January 2022,2100000755,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 1 ," 4,123 "
PT. BBM,January 2022,2100000704,50,EPBF-0000000076,"JIS G 3445 STKM 11A 4""(114.3)x3x6000", 2 ," 1,689 "
FSC,January 2022,1200000026,1240,PLTF,Finished Baby Plate," 1,794 ", - 
OSP,January 2022,2900000077,20,PLTF,Finished Baby Plate, 12 , 13 
PT. HJT,January 2022,2100000945,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 10 ," 40,943 "
PT. BBM,January 2022,2100001394,240,EPBF-0000000036,"JIS G 3445 STKM 11A 2""(60.3)x2.5x6000", 500 ," 169,791 "
FSC,January 2022,1200000028,2330,PLTF,Finished Baby Plate," 112,362 ", - 
PT. HJT,January 2022,2100001229,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 3 ," 47,475 "
PT. HJT,January 2022,2100000448,10,RBFF,Finished Rolled Beam Fabricated, 1 , 228 
PT. HJT,January 2022,2100000914,40,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 12 ," 172,025 "
PT. IPM,January 2022,2100000592,100,PLTF,Finished Baby Plate, 38 ," 385,915 "
CV. MM,January 2022,2100000645,110,CPLF-0000000012,CPLF-ASTM A 36 5.7x1200x2400, 148 ," 283,237 "
PT. HJT,January 2022,2100000562,10,CPLF-0000000001,CPLF-ASTM A 36 2x1200x2400," 1,350 "," 1,029,231 "
O&C,January 2022,2900000037,1070,WBMF,Finished Welded Beam, 5 , 6 
PSC,January 2022,1000000066,110,PLTF,Finished Baby Plate, 16 ," 289,294 "
CV. MM,January 2022,2100000934,110,CPLF,Finished Coil Plate, 35 ," 408,657 "
FSC,January 2022,1200000026,620,PLTF,Finished Baby Plate," 45,832 ", - 
ATP,January 2022,2900000040,170,PLTF,Finished Baby Plate, 35 , 33 
OSP,January 2022,2900000106,860,WBMF,Finished Welded Beam, 8 , 29 
PT. HJT,January 2022,2100000872,10,UL-RBMF-0000005,HB-JIS G 3101 SS 400 100x100x12000-UL, 10 ," 34,224 "
O&C,January 2022,2900000090,810,WBMF,Finished Welded Beam, 2 , 6 
PT. HJT,January 2022,2100001422,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 6 ," 33,913 "
PT. HJT,January 2022,2100000961,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 10 ," 158,250 "
PT. HJT,January 2022,2100000846,60,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 20 ," 146,567 "
TCP,January 2022,2900000082,20,WBMF,Finished Welded Beam, 4 , 9 
FSC,January 2022,1200000006,1770,PLTF,Finished Baby Plate," 9,993 ", - 
PT. HJT,January 2022,2100001210,30,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 6 ," 94,759 "
PT. HJT,January 2022,2100000377,30,CPLF-0000000004,CPLF-ASTM A 36 2.7x1200x2400, 27 ," 24,012 "
ATP,January 2022,2900000093,110,PLTF,Finished Baby Plate, 30 , 142 
PT. HJT,January 2022,2100000447,10,EPBF-0000000063,"JIS G 3445 STKM 11A 3""(88.9)x2.5x6000"," 2,050 "," 1,136,002 "
PT. ADP,January 2022,2100000382,10,HRCF,Finished Hot Rolled Coil," 20,160 "," 313,790 "
PT. HJT,January 2022,2100000965,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 30 ," 225,237 "
PT. HJT,January 2022,2100001122,30,RBMF-0000000014,IWF-JIS G 3101 SS 400 198x99x12000, 20 ," 72,305 "
PT. HJT,January 2022,2100000954,30,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 17 ," 236,276 "
FSC,January 2022,1200000019,1490,PLTF,Finished Baby Plate," 11,020 ", - 
FSC,January 2022,1200000006,1900,PLTF,Finished Baby Plate," 1,533 ", - 
PT. HJT,January 2022,2100000517,50,CPLF,Finished Coil Plate, 129 ," 234,745 "
PT. HJT,January 2022,2100001375,30,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 16 ," 222,378 "
PT. HJT,January 2022,2100000900,50,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 58 ," 586,574 "
FSC,January 2022,1200000000,90,RBFF,Finished Rolled Beam Fabricated, 15 , - 
PT. HJT,January 2022,2100001030,50,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 4 ," 10,977 "
PT. HJT,January 2022,2100001328,90,RBFF,Finished Rolled Beam Fabricated, 560 ," 260,190 "
ATP,January 2022,2900000012,100,PLTF,Finished Baby Plate, 89 , 638 
PT. HJT,January 2022,2100000468,40,RHCF,Finished Rolled Honey Comb, 56 ," 1,013,980 "
PT. HJT,January 2022,2100000795,70,RBFF,Finished Rolled Beam Fabricated, 84 ," 245,453 "
FSC,January 2022,1200000026,150,HRCF,Finished Hot Rolled Coil," 38,810 ", - 
PT. HJT,January 2022,2100000773,10,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 3 ," 43,268 "
CV. MM,January 2022,2100000645,40,CPLF,Finished Coil Plate, 288 ," 281,990 "
PT. SSJ,January 2022,2100000577,40,WBMF,Finished Welded Beam, 24 ," 74,831 "
PT. HJT,January 2022,2100001002,50,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 4 ," 15,813 "
FSC,January 2022,1200000003,310,EPBF,Finished ERW Pipe," 1,953 ", - 
PT. HJT,January 2022,2100000973,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 28 ," 159,195 "
O&C,January 2022,2900000090,430,WBMF,Finished Welded Beam, 2 , 6 
SPM,January 2022,1000000013,20,FPLF,Finished Plate Bar, 561 ," 27,498 "
O&C,January 2022,2900000090,650,WBMF,Finished Welded Beam, 2 , 6 
FSC,January 2022,1200000026,1290,PLTF,Finished Baby Plate," 1,575 ", - 
PT. HJT,January 2022,2100001213,40,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 42 ," 238,463 "
PT. HJT,January 2022,2100001073,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 8 ," 33,455 "
FSC,January 2022,1200000003,290,EPBF,Finished ERW Pipe," 2,520 ", - 
PT. HJT,January 2022,2100001045,50,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 7 ," 143,790 "
FS,January 2022,1000000059,450,CTSF,Finished Plate Cut to Shape, 48 , 973 
FSC,January 2022,1200000022,2840,PLTF,Finished Baby Plate," 25,300 ", - 
FSC,January 2022,1200000027,10,SWPF,Finished Spiral Welded Pipe," 20,058 ", - 
FSC,January 2022,1200000014,400,CPLF,Finished Coil Plate," 60,027 ", - 
PT. HJT,January 2022,2100001368,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 34 ," 549,063 "
PT. ADP,January 2022,2100000395,80,HRCF,Finished Hot Rolled Coil," 5,010 "," 77,154 "
FSC,January 2022,1200000015,1160,PLTF,Finished Baby Plate," 2,625 ", - 
FS,January 2022,1000000046,60,RBFF,Finished Rolled Beam Fabricated, 1 ," 3,338 "
FSC,January 2022,1200000000,170,RBFF,Finished Rolled Beam Fabricated, 1 , - 
FSC,January 2022,1200000022,2660,PLTF,Finished Baby Plate," 145,796 ", - 
PT. HJT,January 2022,2100000146,10,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 2 ," 56,213 "
FSC,January 2022,1200000026,170,HRCF,Finished Hot Rolled Coil," 37,930 ", - 
PT. SP,January 2022,2100001048,10,EPBF,Finished ERW Pipe, 109 ," 67,758 "
FSC,January 2022,1200000014,230,CPLF,Finished Coil Plate," 16,920 ", - 
PT. BM,January 2022,2100000316,10,C_WHGF,Finished Heavy Galvanised Wire - Tolling, 36 ," 129,051 "
TCP,January 2022,2900000045,80,PLTF,Finished Baby Plate, 1 , 9 
PT. HJT,January 2022,2100000368,10,EPBF-0000000049,"JIS G 3445 STKM 11A 21/2""(73)x2.5x6000"," 2,110 "," 726,604 "
O&C,January 2022,2900000037,800,WBMF,Finished Welded Beam, 4 , 5 
FSC,January 2022,1200000006,1780,PLTF,Finished Baby Plate," 9,098 ", - 
PT. HJT,January 2022,2100001092,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 3 ," 22,436 "
PT. HJT,January 2022,2100000905,20,RBFF,Finished Rolled Beam Fabricated, 16 ," 11,910 "
FSC,January 2022,1200000028,1660,BSBS,SFG - Baby Slab," 2,965 ", - 
FSC,January 2022,1200000006,1220,PLTF,Finished Baby Plate," 17,150 ", - 
PT. HJT,January 2022,2100000553,10,CRCF,Finished Cold Rolled Coil," 40,188 "," 708,573 "
FSC,January 2022,1200000014,640,CPLF,Finished Coil Plate," 13,064 ", - 
PT. BE,January 2022,2100001236,40,PLTF,Finished Baby Plate, 47 ," 839,721 "
PT. BBM,January 2022,2100000582,10,CPLF,Finished Coil Plate, 363 ," 5,605,446 "
PSC,January 2022,1000000016,60,PLTF,Finished Baby Plate, 1 ," 66,730 "
FSC,January 2022,1200000026,480,PLTF,Finished Baby Plate," 2,118 ", - 
PT. HJT,January 2022,2100001150,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 60 ," 246,592 "
FSC,January 2022,1200000004,690,PLTF,Finished Baby Plate, 11 , - 
PT. HJT,January 2022,2100001275,120,RBFF,Finished Rolled Beam Fabricated, 2 ," 1,470 "
FSC,January 2022,1200000022,2480,PLTF,Finished Baby Plate," 25,680 ", - 
FSC,January 2022,1200000004,610,PLTF,Finished Baby Plate, 10 , - 
PT. HJT,January 2022,2100000518,40,CPLF-0000000023,CPLF-ASTM A 36 5.7x1500x6000, 5 ," 32,449 "
PT. HJT,January 2022,2100000783,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 25 ," 189,699 "
TCP,January 2022,2900000047,20,WBMF,Finished Welded Beam, 10 , 10 
PT. BBM,January 2022,2100000932,60,PLTF,Finished Baby Plate, 51 ," 1,212,224 "
PT. HJT,January 2022,2100001335,30,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 25 ," 186,970 "
OSP,January 2022,2900000103,80,WBMF,Finished Welded Beam, 1 , 0 
PSC,January 2022,1000000034,50,PLTF,Finished Baby Plate, 2 ," 27,414 "
FSC,January 2022,1200000006,1030,PLTF,Finished Baby Plate," 21,000 ", - 
PT. IB,January 2022,2100000288,80,PLTF-0000000014,PLTF-ASTM A 36 6x1800x6000, 202 ," 1,548,023 "
FSC,January 2022,1200000026,980,PLTF,Finished Baby Plate," 26,137 ", - 
PT. HJT,January 2022,2100001032,20,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 4 ," 57,307 "
PT. PS,January 2022,2100001393,20,CPLF,Finished Coil Plate, 25 ," 16,349 "
FSC,January 2022,1200000000,1240,RAFF,Finished Rolled Angle Fabricated, 2 , - 
FSC,January 2022,1200000006,1960,PLTF,Finished Baby Plate," 2,152 ", - 
PT. HJT,January 2022,2100001153,40,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 50 ," 283,885 "
PT. HJT,January 2022,2100000457,10,SWPF,Finished Spiral Welded Pipe, 22 ," 553,824,689 "
PT. BBM,January 2022,2100000682,10,PLTF,Finished Baby Plate, 21 ," 272,485 "
PT. TJ,January 2022,2100001022,20,PLTF,Finished Baby Plate, 120 ," 1,609,829 "
O&C,January 2022,2900000037,1100,WBMF,Finished Welded Beam, 1 , 1 
FSC,January 2022,1200000000,500,RBFF,Finished Rolled Beam Fabricated, 15 , - 
PT. IB,January 2022,2100001421,340,EPBF-0000000015,"JIS G 3445 STKM 11A 1""(33.4)x3x6000", 169 ," 35,331 "
FSC,January 2022,1200000014,490,CPLF,Finished Coil Plate," 93,636 ", - 
PT. TJ,January 2022,2100000689,60,CPLF,Finished Coil Plate, 112 ," 1,307,703 "
PT. TJ,January 2022,2100001041,20,CPLF,Finished Coil Plate," 1,500 "," 8,501,235 "
PSC,January 2022,1000000041,50,PLTF,Finished Baby Plate, 28 ," 379,403 "
O&C,January 2022,2900000105,660,WBMF,Finished Welded Beam, 1 , 3 
PT. HJT,January 2022,2100000985,10,CRCF,Finished Cold Rolled Coil," 237,780 "," 3,881,616 "
PT. DHJ,January 2022,2100000676,20,CNPF,Finished Lipped Channel, 29 ," 29,605 "
TCP,January 2022,2900000054,240,PLTF,Finished Baby Plate, 3 , 7 
PT. IB,January 2022,2100001309,20,CPLF,Finished Coil Plate, 575 ," 450,173 "
OSP,January 2022,2900000106,40,WBMF,Finished Welded Beam, 14 , 65 
PT. IB,January 2022,2100000871,20,CPLF,Finished Coil Plate, 838 ," 848,520 "
PT. HJT,January 2022,2100000547,90,HRCF,Finished Hot Rolled Coil," 17,000 "," 283,140 "
PT. HJT,January 2022,2100000727,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 20 ," 87,082 "
ATP,January 2022,2900000051,10,CRCF,Finished Cold Rolled Coil," 50,000 ", 51 
PT. HJT,January 2022,2100000500,40,PLTF,Finished Baby Plate, 31 ," 485,541 "
FSC,January 2022,1200000022,2610,PLTF,Finished Baby Plate," 59,979 ", - 
FSC,January 2022,1200000004,710,PLTF,Finished Baby Plate, 5 , - 
OSP,January 2022,2900000067,220,PLTF,Finished Baby Plate, 4 , 16 
PT. HJT,January 2022,2100001088,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 42 ," 303,917 "
PT. HJT,January 2022,2100000070,20,CPLF,Finished Coil Plate, 380 ," 565,100 "
SPM,January 2022,1000000064,20,SWPF,Finished Spiral Welded Pipe, 39 ," 746,298 "
FSC,January 2022,1200000004,1220,PLTF,Finished Baby Plate, 2 , - 
